,sample,population,percentage
125,sample00325,b_cell,9.19603040622957
126,sample00325,cd4_t_cell,25.44521316562418
127,sample00325,cd8_t_cell,25.041227958898897
128,sample00325,monocyte,22.570477853999357
129,sample00325,nk_cell,17.747050615248003
130,sample00326,b_cell,12.388773410061335
131,sample00326,cd4_t_cell,37.42640357972988
132,sample00326,cd8_t_cell,14.61176928354205
133,sample00326,monocyte,23.84472819242072
134,sample00326,nk_cell,11.728325534246014
135,sample00327,b_cell,12.262754481304242
136,sample00327,cd4_t_cell,30.580339038040393
137,sample00327,cd8_t_cell,22.48053370103009
138,sample00327,monocyte,18.735298888798766
139,sample00327,nk_cell,15.941073890826507
140,sample00328,b_cell,12.037354441293486
141,sample00328,cd4_t_cell,26.30080920772435
142,sample00328,cd8_t_cell,25.865561407335846
143,sample00328,monocyte,19.06676223420279
144,sample00328,nk_cell,16.729512709443526
145,sample00329,b_cell,9.703709204321836
146,sample00329,cd4_t_cell,32.59755690045669
147,sample00329,cd8_t_cell,21.44952289013478
148,sample00329,monocyte,18.09397393532098
149,sample00329,nk_cell,18.155237069765715
150,sample00333,b_cell,12.616909068435582
151,sample00333,cd4_t_cell,34.516501174240865
152,sample00333,cd8_t_cell,21.708005438589264
153,sample00333,monocyte,25.39038358534877
154,sample00333,nk_cell,5.768200733385521
155,sample00334,b_cell,13.704921918985391
156,sample00334,cd4_t_cell,31.939629201608046
157,sample00334,cd8_t_cell,15.944133305676553
158,sample00334,monocyte,25.397813138945683
159,sample00334,nk_cell,13.013502434784327
160,sample00335,b_cell,9.39165468751528
161,sample00335,cd4_t_cell,32.53537516746365
162,sample00335,cd8_t_cell,18.899678274219887
163,sample00335,monocyte,26.346309932427808
164,sample00335,nk_cell,12.826981938373377
165,sample00369,b_cell,9.702078801063573
166,sample00369,cd4_t_cell,26.66183224558859
167,sample00369,cd8_t_cell,34.62049794537104
168,sample00369,monocyte,18.811941020062847
169,sample00369,nk_cell,10.203649987913947
170,sample00370,b_cell,13.44863315483165
171,sample00370,cd4_t_cell,24.34659668625989
172,sample00370,cd8_t_cell,24.119999612654574
173,sample00370,monocyte,23.938915626482807
174,sample00370,nk_cell,14.145854919771079
175,sample00371,b_cell,3.9824040703837187
176,sample00371,cd4_t_cell,31.79881280474878
177,sample00371,cd8_t_cell,22.26203095187619
178,sample00371,monocyte,25.203519185923255
179,sample00371,nk_cell,16.753232987068053
180,sample00378,b_cell,12.884729064039409
181,sample00378,cd4_t_cell,29.35073891625616
182,sample00378,cd8_t_cell,23.65911330049261
183,sample00378,monocyte,16.132019704433496
184,sample00378,nk_cell,17.973399014778327
185,sample00379,b_cell,16.2621151856317
186,sample00379,cd4_t_cell,22.98776378117198
187,sample00379,cd8_t_cell,30.167168202918088
188,sample00379,monocyte,18.481531758161434
189,sample00379,nk_cell,12.1014210721168
190,sample00380,b_cell,5.99317764366308
191,sample00380,cd4_t_cell,36.04618210443453
192,sample00380,cd8_t_cell,29.040146943059565
193,sample00380,monocyte,13.753870375229598
194,sample00380,nk_cell,15.166622933613224
195,sample00426,b_cell,12.570491870882604
196,sample00426,cd4_t_cell,28.859655453261443
197,sample00426,cd8_t_cell,27.215274699217503
198,sample00426,monocyte,19.827417342804416
199,sample00426,nk_cell,11.527160633834036
200,sample00427,b_cell,12.053332763081924
201,sample00427,cd4_t_cell,24.39214763808994
202,sample00427,cd8_t_cell,27.75377969762419
203,sample00427,monocyte,21.024100250197804
204,sample00427,nk_cell,14.776639651006137
205,sample00428,b_cell,4.244604316546763
206,sample00428,cd4_t_cell,37.836357779448086
207,sample00428,cd8_t_cell,27.66884999463116
208,sample00428,monocyte,14.285407494899603
209,sample00428,nk_cell,15.96478041447439
210,sample00447,b_cell,7.682646436204155
211,sample00447,cd4_t_cell,27.146025990337186
212,sample00447,cd8_t_cell,22.227511673368515
213,sample00447,monocyte,26.995107820397248
214,sample00447,nk_cell,15.948708079692897
215,sample00448,b_cell,5.608530805687204
216,sample00448,cd4_t_cell,31.981990521327013
217,sample00448,cd8_t_cell,23.175355450236967
218,sample00448,monocyte,28.06729857819905
219,sample00448,nk_cell,11.166824644549763
220,sample00449,b_cell,8.883794673964635
221,sample00449,cd4_t_cell,30.991789786211285
222,sample00449,cd8_t_cell,28.906415681205377
223,sample00449,monocyte,12.912151722327136
224,sample00449,nk_cell,18.30584813629157
225,sample00483,b_cell,10.434443671912858
226,sample00483,cd4_t_cell,31.87219518361671
227,sample00483,cd8_t_cell,18.825190148115375
228,sample00483,monocyte,22.20571813833934
229,sample00483,nk_cell,16.66245285801572
230,sample00484,b_cell,12.775274365869613
231,sample00484,cd4_t_cell,33.96140707900283
232,sample00484,cd8_t_cell,25.647757831237737
233,sample00484,monocyte,19.11930372846864
234,sample00484,nk_cell,8.496256995421179
235,sample00485,b_cell,10.518616761912192
236,sample00485,cd4_t_cell,29.529363577851026
237,sample00485,cd8_t_cell,25.150669969378402
238,sample00485,monocyte,19.45544264789062
239,sample00485,nk_cell,15.34590704296776
240,sample00498,b_cell,9.326025991165203
241,sample00498,cd4_t_cell,27.166083179060433
242,sample00498,cd8_t_cell,17.13712264237403
243,sample00498,monocyte,28.11554887548802
244,sample00498,nk_cell,18.255219311912313
245,sample00499,b_cell,11.190481336589794
246,sample00499,cd4_t_cell,27.23107182224912
247,sample00499,cd8_t_cell,23.767480061382845
248,sample00499,monocyte,23.499470464910196
249,sample00499,nk_cell,14.311496314868048
250,sample00500,b_cell,10.12929866582852
251,sample00500,cd4_t_cell,35.71374380872901
252,sample00500,cd8_t_cell,29.980383018847476
253,sample00500,monocyte,9.939631720983668
254,sample00500,nk_cell,14.236942785611324
255,sample00510,b_cell,5.691545424994336
256,sample00510,cd4_t_cell,38.811454013534416
257,sample00510,cd8_t_cell,21.55064569193944
258,sample00510,monocyte,23.50988484914154
259,sample00510,nk_cell,10.436470020390272
260,sample00511,b_cell,12.547084725980158
261,sample00511,cd4_t_cell,32.37837551063717
262,sample00511,cd8_t_cell,21.202185792349727
263,sample00511,monocyte,22.90094965250146
264,sample00511,nk_cell,10.971404318531487
265,sample00512,b_cell,7.715817234911597
266,sample00512,cd4_t_cell,36.98336681551161
267,sample00512,cd8_t_cell,30.610010377888432
268,sample00512,monocyte,16.1142900667422
269,sample00512,nk_cell,8.576515504946158
270,sample00537,b_cell,8.359746027838467
271,sample00537,cd4_t_cell,24.358145880132525
272,sample00537,cd8_t_cell,24.21556861659025
273,sample00537,monocyte,33.15793252710507
274,sample00537,nk_cell,9.908606948333693
275,sample00538,b_cell,13.207956315177322
276,sample00538,cd4_t_cell,28.580440396632955
277,sample00538,cd8_t_cell,18.38271531925799
278,sample00538,monocyte,23.821633449642203
279,sample00538,nk_cell,16.007254519289532
280,sample00539,b_cell,4.083666224788477
281,sample00539,cd4_t_cell,35.0963976547834
282,sample00539,cd8_t_cell,31.300100534702267
283,sample00539,monocyte,17.848913246559132
284,sample00539,nk_cell,11.670922339166719
285,sample00543,b_cell,10.326397972531066
286,sample00543,cd4_t_cell,27.10922171353826
287,sample00543,cd8_t_cell,27.43316710268149
288,sample00543,monocyte,24.059843034663178
289,sample00543,nk_cell,11.071370176586004
290,sample00544,b_cell,9.04212586260171
291,sample00544,cd4_t_cell,29.26047996704089
292,sample00544,cd8_t_cell,27.271603666700997
293,sample00544,monocyte,17.876197342671748
294,sample00544,nk_cell,16.549593160984653
295,sample00545,b_cell,17.016451970859265
296,sample00545,cd4_t_cell,29.396439426834565
297,sample00545,cd8_t_cell,24.430935494765283
298,sample00545,monocyte,19.38244801466686
299,sample00545,nk_cell,9.77372509287403
300,sample00555,b_cell,10.523142746013225
301,sample00555,cd4_t_cell,20.780824581874757
302,sample00555,cd8_t_cell,27.345390898483082
303,sample00555,monocyte,24.627576818358616
304,sample00555,nk_cell,16.723064955270324
305,sample00556,b_cell,5.711926094513747
306,sample00556,cd4_t_cell,30.17583282917039
307,sample00556,cd8_t_cell,26.58139110560533
308,sample00556,monocyte,18.675155810357907
309,sample00556,nk_cell,18.855694160352627
310,sample00557,b_cell,10.234510989116089
311,sample00557,cd4_t_cell,31.306069358633486
312,sample00557,cd8_t_cell,27.582777023278947
313,sample00557,monocyte,16.52384322576943
314,sample00557,nk_cell,14.35279940320205
315,sample00564,b_cell,10.782119855910926
316,sample00564,cd4_t_cell,28.55310555616199
317,sample00564,cd8_t_cell,19.392897427500635
318,sample00564,monocyte,22.966015354946695
319,sample00564,nk_cell,18.30586180547975
320,sample00565,b_cell,10.546513964235483
321,sample00565,cd4_t_cell,41.1332127787824
322,sample00565,cd8_t_cell,22.96262808921037
323,sample00565,monocyte,8.079164155113522
324,sample00565,nk_cell,17.27848101265823
325,sample00566,b_cell,13.671559113698851
326,sample00566,cd4_t_cell,38.13783761927867
327,sample00566,cd8_t_cell,19.7406194404011
328,sample00566,monocyte,16.454391072295003
329,sample00566,nk_cell,11.99559275432638
330,sample00621,b_cell,10.075153813488184
331,sample00621,cd4_t_cell,31.691010181811
332,sample00621,cd8_t_cell,22.21234655684927
333,sample00621,monocyte,12.901569243227762
334,sample00621,nk_cell,23.119920204623785
335,sample00622,b_cell,11.420773580106822
336,sample00622,cd4_t_cell,17.176647819537106
337,sample00622,cd8_t_cell,34.79643143622953
338,sample00622,monocyte,19.167335120223818
339,sample00622,nk_cell,17.438812043902725
340,sample00623,b_cell,7.281369200966589
341,sample00623,cd4_t_cell,27.267189902741997
342,sample00623,cd8_t_cell,28.832903960218083
343,sample00623,monocyte,20.25642561859685
344,sample00623,nk_cell,16.362111317476483
345,sample00630,b_cell,5.000455138513821
346,sample00630,cd4_t_cell,34.97891191552629
347,sample00630,cd8_t_cell,23.917023191835828
348,sample00630,monocyte,13.821039536365568
349,sample00630,nk_cell,22.282570217758494
350,sample00631,b_cell,8.468893705812045
351,sample00631,cd4_t_cell,31.338249296031442
352,sample00631,cd8_t_cell,26.78119239106213
353,sample00631,monocyte,20.336081680610985
354,sample00631,nk_cell,13.0755829264834
355,sample00632,b_cell,12.38678887141385
356,sample00632,cd4_t_cell,43.07066543738814
357,sample00632,cd8_t_cell,24.728022127013396
358,sample00632,monocyte,11.498454363034872
359,sample00632,nk_cell,8.316069201149737
360,sample00660,b_cell,10.603897910999793
361,sample00660,cd4_t_cell,21.530975914105912
362,sample00660,cd8_t_cell,27.932634905245393
363,sample00660,monocyte,20.195164866733098
364,sample00660,nk_cell,19.7373264029158
365,sample00661,b_cell,6.98417963531157
366,sample00661,cd4_t_cell,35.55297564751085
367,sample00661,cd8_t_cell,18.004993964857967
368,sample00661,monocyte,20.88896260054731
369,sample00661,nk_cell,18.568888151772306
370,sample00662,b_cell,6.620916099033324
371,sample00662,cd4_t_cell,35.435616103112125
372,sample00662,cd8_t_cell,20.961985561039278
373,sample00662,monocyte,20.091161235061385
374,sample00662,nk_cell,16.890321001753886
375,sample00675,b_cell,12.472086978804407
376,sample00675,cd4_t_cell,39.101109199399644
377,sample00675,cd8_t_cell,14.614525753193982
378,sample00675,monocyte,12.261595343558955
379,sample00675,nk_cell,21.550682725043014
380,sample00676,b_cell,10.190470023404039
381,sample00676,cd4_t_cell,22.297666071544203
382,sample00676,cd8_t_cell,27.656543417729715
383,sample00676,monocyte,24.44010693703111
384,sample00676,nk_cell,15.415213550290932
385,sample00677,b_cell,12.267272406675588
386,sample00677,cd4_t_cell,23.24216116418251
387,sample00677,cd8_t_cell,26.889047930215433
388,sample00677,monocyte,27.718828764352615
389,sample00677,nk_cell,9.882689734573855
390,sample00714,b_cell,6.605604869866757
391,sample00714,cd4_t_cell,28.155330657168165
392,sample00714,cd8_t_cell,26.696632178059215
393,sample00714,monocyte,26.01722545749232
394,sample00714,nk_cell,12.525206837413544
395,sample00715,b_cell,13.568086229812646
396,sample00715,cd4_t_cell,25.889882198714563
397,sample00715,cd8_t_cell,27.703330116708848
398,sample00715,monocyte,16.473972652622763
399,sample00715,nk_cell,16.36472880214118
400,sample00716,b_cell,16.84034790101516
401,sample00716,cd4_t_cell,28.178546104065127
402,sample00716,cd8_t_cell,19.738625449910693
403,sample00716,monocyte,21.09037707228191
404,sample00716,nk_cell,14.15210347272711
405,sample00753,b_cell,7.715592627472084
406,sample00753,cd4_t_cell,34.71488151294421
407,sample00753,cd8_t_cell,32.47871461244258
408,sample00753,monocyte,14.844996252234244
409,sample00753,nk_cell,10.245814994906883
410,sample00754,b_cell,5.41003425347572
411,sample00754,cd4_t_cell,43.81697287197992
412,sample00754,cd8_t_cell,23.34914732658033
413,sample00754,monocyte,16.346418038942723
414,sample00754,nk_cell,11.077427509021303
415,sample00755,b_cell,6.9128092089150135
416,sample00755,cd4_t_cell,24.92142215691077
417,sample00755,cd8_t_cell,26.221528288023514
418,sample00755,monocyte,21.99669360764144
419,sample00755,nk_cell,19.947546738509267
420,sample00825,b_cell,9.69797347905436
421,sample00825,cd4_t_cell,29.991666051290707
422,sample00825,cd8_t_cell,28.132879010053486
423,sample00825,monocyte,16.726973510702265
424,sample00825,nk_cell,15.45050794889918
425,sample00826,b_cell,15.812061465398951
426,sample00826,cd4_t_cell,30.830989616279183
427,sample00826,cd8_t_cell,22.027696409976937
428,sample00826,monocyte,15.492861800169331
429,sample00826,nk_cell,15.836390708175598
430,sample00827,b_cell,8.241630069880422
431,sample00827,cd4_t_cell,32.69166404657342
432,sample00827,cd8_t_cell,25.173179711350244
433,sample00827,monocyte,20.009736604562004
434,sample00827,nk_cell,13.883789567633904
435,sample00840,b_cell,5.933361362203069
436,sample00840,cd4_t_cell,37.79430313222619
437,sample00840,cd8_t_cell,20.233340340550768
438,sample00840,monocyte,16.596594492327096
439,sample00840,nk_cell,19.442400672692873
440,sample00841,b_cell,12.026346950858496
441,sample00841,cd4_t_cell,40.75358940201303
442,sample00841,cd8_t_cell,16.20318975725281
443,sample00841,monocyte,11.253885435168739
444,sample00841,nk_cell,19.762988454706928
445,sample00842,b_cell,5.490005154934418
446,sample00842,cd4_t_cell,35.84015884834947
447,sample00842,cd8_t_cell,22.364778433281785
448,sample00842,monocyte,23.894075643889494
449,sample00842,nk_cell,12.410981919544838
450,sample00861,b_cell,7.569508566738484
451,sample00861,cd4_t_cell,24.286447111931878
452,sample00861,cd8_t_cell,35.87873191751308
453,sample00861,monocyte,17.111931876474813
454,sample00861,nk_cell,15.153380527341746
455,sample00862,b_cell,5.910968423937513
456,sample00862,cd4_t_cell,32.10852925630836
457,sample00862,cd8_t_cell,21.365229136894857
458,sample00862,monocyte,21.28986159779183
459,sample00862,nk_cell,19.32541158506744
460,sample00863,b_cell,2.373808422937305
461,sample00863,cd4_t_cell,25.413424363754416
462,sample00863,cd8_t_cell,30.129560948736362
463,sample00863,monocyte,22.838929277626388
464,sample00863,nk_cell,19.24427698694553
465,sample00873,b_cell,6.412190122597362
466,sample00873,cd4_t_cell,23.16007270758402
467,sample00873,cd8_t_cell,30.3032060950613
468,sample00873,monocyte,23.63576594345825
469,sample00873,nk_cell,16.48876513129907
470,sample00874,b_cell,19.25268096514745
471,sample00874,cd4_t_cell,21.810439993691848
472,sample00874,cd8_t_cell,31.83448982810282
473,sample00874,monocyte,16.420911528150135
474,sample00874,nk_cell,10.681477684907744
475,sample00875,b_cell,11.563603576527163
476,sample00875,cd4_t_cell,36.123112179728004
477,sample00875,cd8_t_cell,26.91505747990082
478,sample00875,monocyte,13.292696671425352
479,sample00875,nk_cell,12.105530092418665
480,sample00876,b_cell,11.068078799614872
481,sample00876,cd4_t_cell,23.875720761167067
482,sample00876,cd8_t_cell,32.71417289613466
483,sample00876,monocyte,20.55345803087508
484,sample00876,nk_cell,11.788569512208316
485,sample00877,b_cell,8.091956107735559
486,sample00877,cd4_t_cell,28.431123605695113
487,sample00877,cd8_t_cell,21.107282125691484
488,sample00877,monocyte,24.29853994740183
489,sample00877,nk_cell,18.071098213476013
490,sample00878,b_cell,7.1172505581315475
491,sample00878,cd4_t_cell,31.856431392752878
492,sample00878,cd8_t_cell,32.29649665121072
493,sample00878,monocyte,15.650223252618925
494,sample00878,nk_cell,13.079598145285935
495,sample00888,b_cell,7.077192911719049
496,sample00888,cd4_t_cell,38.06019797189686
497,sample00888,cd8_t_cell,16.962683708646654
498,sample00888,monocyte,22.41396689716348
499,sample00888,nk_cell,15.485958510573957
500,sample00889,b_cell,7.631624603263698
501,sample00889,cd4_t_cell,35.70167471195158
502,sample00889,cd8_t_cell,23.979711594395177
503,sample00889,monocyte,22.906099788747486
504,sample00889,nk_cell,9.780889301642054
505,sample00890,b_cell,12.563453037301942
506,sample00890,cd4_t_cell,28.622659315551584
507,sample00890,cd8_t_cell,20.28311727015348
508,sample00890,monocyte,22.471564098743357
509,sample00890,nk_cell,16.05920627824964
510,sample00894,b_cell,12.632347196809276
511,sample00894,cd4_t_cell,28.09769535988158
512,sample00894,cd8_t_cell,20.435435126744927
513,sample00894,monocyte,22.914824941921424
514,sample00894,nk_cell,15.91969737464279
515,sample00895,b_cell,11.679278230500582
516,sample00895,cd4_t_cell,25.916763678696157
517,sample00895,cd8_t_cell,22.660069848661234
518,sample00895,monocyte,22.48641831587117
519,sample00895,nk_cell,17.257469926270858
520,sample00896,b_cell,11.02708406612733
521,sample00896,cd4_t_cell,35.36952358619612
522,sample00896,cd8_t_cell,25.299957009418847
523,sample00896,monocyte,17.61636768671591
524,sample00896,nk_cell,10.687067651541799
525,sample00912,b_cell,8.801726473889985
526,sample00912,cd4_t_cell,20.786397243835406
527,sample00912,cd8_t_cell,22.148995470909302
528,sample00912,monocyte,32.40525684202377
529,sample00912,nk_cell,15.85762396934154
530,sample00913,b_cell,6.600864322680468
531,sample00913,cd4_t_cell,39.08659232780238
532,sample00913,cd8_t_cell,20.259296804140213
533,sample00913,monocyte,23.181987942165076
534,sample00913,nk_cell,10.871258603211865
535,sample00914,b_cell,9.85090521831736
536,sample00914,cd4_t_cell,33.77184739710581
537,sample00914,cd8_t_cell,18.975129988097475
538,sample00914,monocyte,15.157969471068512
539,sample00914,nk_cell,22.244147925410847
540,sample00915,b_cell,7.866333028328135
541,sample00915,cd4_t_cell,19.434744449216634
542,sample00915,cd8_t_cell,29.93034677223581
543,sample00915,monocyte,23.05559186569812
544,sample00915,nk_cell,19.712983884521297
545,sample00916,b_cell,5.945738663598888
546,sample00916,cd4_t_cell,26.760617390470713
547,sample00916,cd8_t_cell,22.35739622279743
548,sample00916,monocyte,26.294698494871056
549,sample00916,nk_cell,18.641549228261912
550,sample00917,b_cell,6.797049726385914
551,sample00917,cd4_t_cell,30.624791815369974
552,sample00917,cd8_t_cell,26.787532714727575
553,sample00917,monocyte,23.628836545324766
554,sample00917,nk_cell,12.161789198191768
555,sample00939,b_cell,8.295549457105357
556,sample00939,cd4_t_cell,26.095732410611305
557,sample00939,cd8_t_cell,29.45352583223959
558,sample00939,monocyte,19.225032812313568
559,sample00939,nk_cell,16.930159487730183
560,sample00940,b_cell,18.253756820491567
561,sample00940,cd4_t_cell,32.64659740105971
562,sample00940,cd8_t_cell,21.613434765019882
563,sample00940,monocyte,15.601535288952038
564,sample00940,nk_cell,11.884675724476807
565,sample00941,b_cell,9.4666905372879
566,sample00941,cd4_t_cell,25.537586282349665
567,sample00941,cd8_t_cell,19.99065067335044
568,sample00941,monocyte,25.822044518708598
569,sample00941,nk_cell,19.183027988303394
570,sample01008,b_cell,5.0172368072129405
571,sample01008,cd4_t_cell,26.37496685229382
572,sample01008,cd8_t_cell,24.181384248210023
573,sample01008,monocyte,12.37974012198356
574,sample01008,nk_cell,32.046671970299656
575,sample01009,b_cell,12.232857810276078
576,sample01009,cd4_t_cell,28.950770868870805
577,sample01009,cd8_t_cell,26.932061408750638
578,sample01009,monocyte,20.911787394474082
579,sample01009,nk_cell,10.972522517628397
580,sample01010,b_cell,8.191778662357624
581,sample01010,cd4_t_cell,28.662357624246248
582,sample01010,cd8_t_cell,26.623773302329248
583,sample01010,monocyte,18.66846648011666
584,sample01010,nk_cell,17.853623930950224
585,sample01017,b_cell,8.373790097805706
586,sample01017,cd4_t_cell,35.428976840825015
587,sample01017,cd8_t_cell,20.951705265291643
588,sample01017,monocyte,21.020625348401154
589,sample01017,nk_cell,14.224902447676481
590,sample01018,b_cell,11.275304372883799
591,sample01018,cd4_t_cell,36.39417188963331
592,sample01018,cd8_t_cell,23.394388012391037
593,sample01018,monocyte,20.38487861105108
594,sample01018,nk_cell,8.551257114040775
595,sample01019,b_cell,4.643223974382212
596,sample01019,cd4_t_cell,45.413167381628504
597,sample01019,cd8_t_cell,27.87746963929672
598,sample01019,monocyte,11.639780073711558
599,sample01019,nk_cell,10.426358930981008
600,sample01068,b_cell,11.423077718278991
601,sample01068,cd4_t_cell,29.998759484772677
602,sample01068,cd8_t_cell,31.53389707858664
603,sample01068,monocyte,10.358302148158868
604,sample01068,nk_cell,16.685963570202823
605,sample01069,b_cell,8.928868283492491
606,sample01069,cd4_t_cell,34.19346496979996
607,sample01069,cd8_t_cell,28.586601156282903
608,sample01069,monocyte,17.708121686769243
609,sample01069,nk_cell,10.582943903655405
610,sample01070,b_cell,9.537503215611334
611,sample01070,cd4_t_cell,28.51971629120576
612,sample01070,cd8_t_cell,31.128955201940393
613,sample01070,monocyte,20.63779353937746
614,sample01070,nk_cell,10.176031751865054
615,sample01074,b_cell,8.621010996293151
616,sample01074,cd4_t_cell,30.170432189525563
617,sample01074,cd8_t_cell,27.020646524053095
618,sample01074,monocyte,15.811054277371658
619,sample01074,nk_cell,18.37685601275653
620,sample01075,b_cell,8.721817337490641
621,sample01075,cd4_t_cell,35.08818484225291
622,sample01075,cd8_t_cell,20.844982325122967
623,sample01075,monocyte,20.138934958347942
624,sample01075,nk_cell,15.206080536785542
625,sample01076,b_cell,9.96778204838345
626,sample01076,cd4_t_cell,36.051134222624164
627,sample01076,cd8_t_cell,22.313286607883036
628,sample01076,monocyte,16.229557615494763
629,sample01076,nk_cell,15.43823950561459
630,sample01080,b_cell,15.511244025623187
631,sample01080,cd4_t_cell,27.78796722111293
632,sample01080,cd8_t_cell,24.121574615335966
633,sample01080,monocyte,23.33462834632864
634,sample01080,nk_cell,9.244585791599281
635,sample01081,b_cell,10.000389574973704
636,sample01081,cd4_t_cell,31.07834352721181
637,sample01081,cd8_t_cell,29.4879036970665
638,sample01081,monocyte,17.98765047333359
639,sample01081,nk_cell,11.44571272741439
640,sample01082,b_cell,9.019394182701038
