,sample,total_count,population,count,percentage
151,sample00030,93972,cd4_t_cell,20437,21.747967479674795
152,sample00030,93972,cd8_t_cell,25167,26.78138168816243
153,sample00030,93972,monocyte,19638,20.897714212744223
154,sample00030,93972,nk_cell,22317,23.748563401864384
155,sample00031,106625,b_cell,7007,6.571629542790152
156,sample00031,106625,cd4_t_cell,31653,29.686283704572098
157,sample00031,106625,cd8_t_cell,30482,28.588042203985932
158,sample00031,106625,monocyte,23316,21.867291910902697
159,sample00031,106625,nk_cell,14167,13.286752637749121
160,sample00032,101357,b_cell,11118,10.969148652781751
161,sample00032,101357,cd4_t_cell,32582,32.14578174176426
162,sample00032,101357,cd8_t_cell,19704,19.440196533046556
163,sample00032,101357,monocyte,17350,17.117712639482225
164,sample00032,101357,nk_cell,20603,20.327160432925204
165,sample00033,93131,b_cell,9054,9.721789737037076
166,sample00033,93131,cd4_t_cell,24897,26.733311142369352
167,sample00033,93131,cd8_t_cell,31679,34.015526516412365
168,sample00033,93131,monocyte,11932,12.812060431005788
169,sample00033,93131,nk_cell,15569,16.71731217317542
170,sample00034,103870,b_cell,8350,8.038894772311544
171,sample00034,103870,cd4_t_cell,36716,35.3480311928372
172,sample00034,103870,cd8_t_cell,26526,25.537691344950417
173,sample00034,103870,monocyte,21284,20.49099836333879
174,sample00034,103870,nk_cell,10994,10.584384326562049
175,sample00035,94622,b_cell,5327,5.629768975502526
176,sample00035,94622,cd4_t_cell,38264,40.4387985880662
177,sample00035,94622,cd8_t_cell,28094,29.6907695884678
178,sample00035,94622,monocyte,15688,16.579653780304792
179,sample00035,94622,nk_cell,7249,7.661009067658684
180,sample00036,103532,b_cell,8635,8.34041648958776
181,sample00036,103532,cd4_t_cell,31787,30.70258470810957
182,sample00036,103532,cd8_t_cell,29458,28.45303867403315
183,sample00036,103532,monocyte,17154,16.5687903256964
184,sample00036,103532,nk_cell,16498,15.935169802573117
185,sample00037,92368,b_cell,8915,9.65161094751429
186,sample00037,92368,cd4_t_cell,24564,26.593625498007967
187,sample00037,92368,cd8_t_cell,21012,22.748137883249612
188,sample00037,92368,monocyte,23510,25.452537675385415
189,sample00037,92368,nk_cell,14367,15.554087995842716
190,sample00038,98897,b_cell,12062,12.196527700536922
191,sample00038,98897,cd4_t_cell,33109,33.47826526588268
192,sample00038,98897,cd8_t_cell,18923,19.134048555567915
193,sample00038,98897,monocyte,20427,20.65482269431833
194,sample00038,98897,nk_cell,14376,14.536335783694147
195,sample00039,107756,b_cell,14634,13.580682282193102
196,sample00039,107756,cd4_t_cell,35553,32.99398641374958
197,sample00039,107756,cd8_t_cell,26888,24.952670848955048
198,sample00039,107756,monocyte,18809,17.45517650989272
199,sample00039,107756,nk_cell,11872,11.017483945209548
200,sample00040,105943,b_cell,11007,10.389549097156017
201,sample00040,105943,cd4_t_cell,25872,24.420679044391797
202,sample00040,105943,cd8_t_cell,25723,24.280037378590375
203,sample00040,105943,monocyte,25016,23.612697393881614
204,sample00040,105943,nk_cell,18325,17.297037085980197
205,sample00041,91358,b_cell,11583,12.67869261586287
206,sample00041,91358,cd4_t_cell,22586,24.722520195275727
207,sample00041,91358,cd8_t_cell,23517,25.741588038267036
208,sample00041,91358,monocyte,19241,21.061100286783862
209,sample00041,91358,nk_cell,14431,15.796098863810503
210,sample00042,111631,b_cell,12118,10.855407548082521
211,sample00042,111631,cd4_t_cell,41403,37.089159821196624
212,sample00042,111631,cd8_t_cell,22342,20.014153774489166
213,sample00042,111631,monocyte,17108,15.3254920228252
214,sample00042,111631,nk_cell,18660,16.71578683340649
215,sample00043,104827,b_cell,4750,4.531275339368674
216,sample00043,104827,cd4_t_cell,36392,34.71624676848522
217,sample00043,104827,cd8_t_cell,23553,22.468448014347448
218,sample00043,104827,monocyte,24363,23.241149703797685
219,sample00043,104827,nk_cell,15769,15.042880174000974
220,sample00044,106034,b_cell,15793,14.894279193466247
221,sample00044,106034,cd4_t_cell,37025,34.91804515532753
222,sample00044,106034,cd8_t_cell,25351,23.908369013712583
223,sample00044,106034,monocyte,13893,13.10240111662297
224,sample00044,106034,nk_cell,13972,13.176905520870664
225,sample00045,104473,b_cell,13792,13.201497037512084
226,sample00045,104473,cd4_t_cell,33714,32.27053879949843
227,sample00045,104473,cd8_t_cell,26314,25.187368985288064
228,sample00045,104473,monocyte,13548,12.967943870665147
229,sample00045,104473,nk_cell,17105,16.372651307036268
230,sample00046,105731,b_cell,7726,7.307223047166866
231,sample00046,105731,cd4_t_cell,29221,27.637116834230262
232,sample00046,105731,cd8_t_cell,25456,24.076193358617623
233,sample00046,105731,monocyte,25427,24.048765262789534
234,sample00046,105731,nk_cell,17901,16.930701497195713
235,sample00047,93338,b_cell,8249,8.837772397094431
236,sample00047,93338,cd4_t_cell,37597,40.28048597570122
237,sample00047,93338,cd8_t_cell,20566,22.033898305084747
238,sample00047,93338,monocyte,15869,17.001649917504125
239,sample00047,93338,nk_cell,11057,11.846193404615484
240,sample00048,105178,b_cell,13648,12.976097663009375
241,sample00048,105178,cd4_t_cell,31150,29.61645971591017
242,sample00048,105178,cd8_t_cell,32565,30.96179809465858
243,sample00048,105178,monocyte,17485,16.62419897697237
244,sample00048,105178,nk_cell,10330,9.821445549449505
245,sample00049,104513,b_cell,11419,10.92591352271966
246,sample00049,104513,cd4_t_cell,29883,28.59261527274119
247,sample00049,104513,cd8_t_cell,20811,19.91235540076354
248,sample00049,104513,monocyte,20669,19.776487135571653
249,sample00049,104513,nk_cell,21731,20.792628668203957
250,sample00050,106504,b_cell,14113,13.251145496882746
251,sample00050,106504,cd4_t_cell,32832,30.827011192067904
252,sample00050,106504,cd8_t_cell,32701,30.704011116953353
253,sample00050,106504,monocyte,12899,12.111282205363178
254,sample00050,106504,nk_cell,13959,13.106549988732818
255,sample00051,88918,b_cell,9765,10.982028385703682
256,sample00051,88918,cd4_t_cell,25644,28.840054882026138
257,sample00051,88918,cd8_t_cell,21622,24.316786252502304
258,sample00051,88918,monocyte,19209,21.603050001124632
259,sample00051,88918,nk_cell,12678,14.258080478643244
260,sample00052,95942,b_cell,11122,11.592420420670821
261,sample00052,95942,cd4_t_cell,21886,22.811698734652186
262,sample00052,95942,cd8_t_cell,30718,32.017260428175355
263,sample00052,95942,monocyte,20577,21.44733276354464
264,sample00052,95942,nk_cell,11639,12.131287652956996
265,sample00053,99135,b_cell,11822,11.925152569728148
266,sample00053,99135,cd4_t_cell,30587,30.853886114893832
267,sample00053,99135,cd8_t_cell,26750,26.983406465930297
268,sample00053,99135,monocyte,22544,22.74070711655823
269,sample00053,99135,nk_cell,7432,7.496847732889494
270,sample00054,99486,b_cell,7782,7.822206139557324
271,sample00054,99486,cd4_t_cell,26399,26.535391914440222
272,sample00054,99486,cd8_t_cell,26235,26.370544599240095
273,sample00054,99486,monocyte,20742,20.849164706591882
274,sample00054,99486,nk_cell,18328,18.422692640170474
275,sample00055,101344,b_cell,11645,11.490566782443953
276,sample00055,101344,cd4_t_cell,34912,34.44900536785602
277,sample00055,101344,cd8_t_cell,23172,22.864698452794443
278,sample00055,101344,monocyte,16223,16.00785443637512
279,sample00055,101344,nk_cell,15392,15.18787496053047
280,sample00056,92361,b_cell,11022,11.933608341182968
281,sample00056,92361,cd4_t_cell,24674,26.71473890494906
282,sample00056,92361,cd8_t_cell,18780,20.333257543768475
283,sample00056,92361,monocyte,20094,21.75593594699061
284,sample00056,92361,nk_cell,17791,19.262459263108887
285,sample00057,111127,b_cell,15157,13.63934957301106
286,sample00057,111127,cd4_t_cell,40906,36.810136150530475
287,sample00057,111127,cd8_t_cell,19991,17.98932752616376
288,sample00057,111127,monocyte,23819,21.43403493300458
289,sample00057,111127,nk_cell,11254,10.127151817290127
290,sample00058,93201,b_cell,10510,11.276703039666957
291,sample00058,93201,cd4_t_cell,28561,30.644520981534534
292,sample00058,93201,cd8_t_cell,20389,21.876374717009472
293,sample00058,93201,monocyte,17442,18.714391476486306
294,sample00058,93201,nk_cell,16299,17.488009785302733
295,sample00059,108944,b_cell,17545,16.104604200323102
296,sample00059,108944,cd4_t_cell,33022,30.31098546042003
297,sample00059,108944,cd8_t_cell,24675,22.649250991335
298,sample00059,108944,monocyte,19458,17.860552210309883
299,sample00059,108944,nk_cell,14244,13.074607137611984
300,sample00060,103534,b_cell,11035,10.658334460177333
301,sample00060,103534,cd4_t_cell,38817,37.49203160314486
302,sample00060,103534,cd8_t_cell,21406,20.67533370680163
303,sample00060,103534,monocyte,17717,17.11225297969749
304,sample00060,103534,nk_cell,14559,14.062047250178685
305,sample00061,111970,b_cell,4508,4.026078413860856
306,sample00061,111970,cd4_t_cell,38281,34.18862195230865
307,sample00061,111970,cd8_t_cell,34867,31.139590961864783
308,sample00061,111970,monocyte,18301,16.34455657765473
309,sample00061,111970,nk_cell,16013,14.301152094310977
310,sample00062,95286,b_cell,10066,10.563986314883614
311,sample00062,95286,cd4_t_cell,21554,22.620321978045045
312,sample00062,95286,cd8_t_cell,20104,21.098587410532502
313,sample00062,95286,monocyte,26057,27.346094914258128
314,sample00062,95286,nk_cell,17505,18.371009382280715
315,sample00063,93940,b_cell,7236,7.702789014264424
316,sample00063,93940,cd4_t_cell,29335,31.22737917819885
317,sample00063,93940,cd8_t_cell,32409,34.49968064722163
318,sample00063,93940,monocyte,14501,15.436448797104536
319,sample00063,93940,nk_cell,10459,11.13370236321056
320,sample00064,109577,b_cell,10199,9.307610173667832
321,sample00064,109577,cd4_t_cell,33535,30.604050120006935
322,sample00064,109577,cd8_t_cell,24842,22.670815955903155
323,sample00064,109577,monocyte,24701,22.542139317557517
324,sample00064,109577,nk_cell,16300,14.87538443286456
325,sample00065,92559,b_cell,8425,9.102302315279983
326,sample00065,92559,cd4_t_cell,24750,26.739701163582147
327,sample00065,92559,cd8_t_cell,28293,30.567529899847663
328,sample00065,92559,monocyte,18995,20.52204539807042
329,sample00065,92559,nk_cell,12096,13.068421223219785
330,sample00066,107284,b_cell,8052,7.505313001006674
331,sample00066,107284,cd4_t_cell,37350,34.81413817531039
332,sample00066,107284,cd8_t_cell,35323,32.92476044890198
333,sample00066,107284,monocyte,12632,11.77435591514112
334,sample00066,107284,nk_cell,13927,12.981432459639834
335,sample00067,107589,b_cell,11874,11.036444246158993
336,sample00067,107589,cd4_t_cell,29460,27.381981429328277
337,sample00067,107589,cd8_t_cell,24116,22.41493089442229
338,sample00067,107589,monocyte,20737,19.27427525118739
339,sample00067,107589,nk_cell,21402,19.892368178903048
340,sample00068,110245,b_cell,10501,9.52514853281328
341,sample00068,110245,cd4_t_cell,35458,32.16290988253436
342,sample00068,110245,cd8_t_cell,33801,30.659893872737992
343,sample00068,110245,monocyte,23088,20.94244636944986
344,sample00068,110245,nk_cell,7397,6.709601342464511
345,sample00069,110094,b_cell,11742,10.665431358657148
346,sample00069,110094,cd4_t_cell,35087,31.870038330880885
347,sample00069,110094,cd8_t_cell,30825,27.998801024578995
348,sample00069,110094,monocyte,19536,17.744836230857267
349,sample00069,110094,nk_cell,12904,11.720893055025705
350,sample00070,97532,b_cell,9131,9.362055530492556
351,sample00070,97532,cd4_t_cell,31460,32.256080055776565
352,sample00070,97532,cd8_t_cell,21272,21.81027765246278
353,sample00070,97532,monocyte,19761,20.2610425296313
354,sample00070,97532,nk_cell,15908,16.310544231636797
355,sample00071,96197,b_cell,5029,5.227813757185775
356,sample00071,96197,cd4_t_cell,36013,37.43671840078173
357,sample00071,96197,cd8_t_cell,19587,20.36134182978679
358,sample00071,96197,monocyte,15972,16.603428381342454
359,sample00071,96197,nk_cell,19596,20.37069763090325
360,sample00072,93613,b_cell,8730,9.325627850832683
361,sample00072,93613,cd4_t_cell,22481,24.014827000523432
362,sample00072,93613,cd8_t_cell,26500,28.3080341405574
363,sample00072,93613,monocyte,19301,20.617862903656544
364,sample00072,93613,nk_cell,16601,17.73364810442994
365,sample00073,104898,b_cell,10426,9.939179011992602
366,sample00073,104898,cd4_t_cell,26510,25.272169154797993
367,sample00073,104898,cd8_t_cell,28944,27.592518446490878
368,sample00073,104898,monocyte,19567,18.653358500638717
369,sample00073,104898,nk_cell,19451,18.542774886079812
370,sample00074,92232,b_cell,13166,14.274872061757307
371,sample00074,92232,cd4_t_cell,33699,36.53721051262035
372,sample00074,92232,cd8_t_cell,18608,20.175210339144765
373,sample00074,92232,monocyte,11200,12.143290831815422
374,sample00074,92232,nk_cell,15559,16.869416254662156
375,sample00075,104711,b_cell,14480,13.82853759394906
376,sample00075,104711,cd4_t_cell,33149,31.65760999321943
377,sample00075,104711,cd8_t_cell,26460,25.26955143203675
378,sample00075,104711,monocyte,15639,14.935393607166391
379,sample00075,104711,nk_cell,14983,14.308907373628367
380,sample00076,110097,b_cell,12385,11.24917118540923
381,sample00076,110097,cd4_t_cell,37340,33.9155471992879
382,sample00076,110097,cd8_t_cell,23764,21.58460266855591
383,sample00076,110097,monocyte,20907,18.989618245728767
384,sample00076,110097,nk_cell,15701,14.261060701018193
385,sample00077,105432,b_cell,9602,9.107291903786328
386,sample00077,105432,cd4_t_cell,42528,40.33689961302071
387,sample00077,105432,cd8_t_cell,18744,17.778283633052585
388,sample00077,105432,monocyte,17956,17.0308824645269
389,sample00077,105432,nk_cell,16602,15.746642385613477
390,sample00078,107869,b_cell,5623,5.212804420176325
391,sample00078,107869,cd4_t_cell,26856,24.896865642584988
392,sample00078,107869,cd8_t_cell,32983,30.57690346624146
393,sample00078,107869,monocyte,23663,21.936793703473658
394,sample00078,107869,nk_cell,18744,17.37663276752357
395,sample00079,99165,b_cell,5792,5.840770433116523
396,sample00079,99165,cd4_t_cell,32123,32.393485604800084
397,sample00079,99165,cd8_t_cell,32012,32.28155095043614
398,sample00079,99165,monocyte,18446,18.601321030605558
399,sample00079,99165,nk_cell,10792,10.882871981041697
400,sample00080,95727,b_cell,5519,5.765353557512509
401,sample00080,95727,cd4_t_cell,31007,32.39107043989679
402,sample00080,95727,cd8_t_cell,22834,23.85324934449006
403,sample00080,95727,monocyte,18917,19.76140482831385
404,sample00080,95727,nk_cell,17450,18.22892182978679
405,sample00081,93286,b_cell,9595,10.285573397937526
406,sample00081,93286,cd4_t_cell,31245,33.49377184143387
407,sample00081,93286,cd8_t_cell,18940,20.303153742255002
408,sample00081,93286,monocyte,18924,20.286002186823318
409,sample00081,93286,nk_cell,14582,15.631498831550287
410,sample00082,103389,b_cell,6068,5.8690963255278605
411,sample00082,103389,cd4_t_cell,30549,29.54763079244407
412,sample00082,103389,cd8_t_cell,31190,30.167619379237635
413,sample00082,103389,monocyte,17682,17.102399675013782
414,sample00082,103389,nk_cell,17900,17.31325382777665
415,sample00083,88242,b_cell,7306,8.279504091022416
416,sample00083,88242,cd4_t_cell,23762,26.9282201219374
417,sample00083,88242,cd8_t_cell,23204,26.295868180684934
418,sample00083,88242,monocyte,17528,19.863557036331905
419,sample00083,88242,nk_cell,16442,18.632850570023344
420,sample00084,100815,b_cell,10469,10.384367405644001
421,sample00084,100815,cd4_t_cell,28340,28.110896196002578
422,sample00084,100815,cd8_t_cell,24997,24.794921390666072
423,sample00084,100815,monocyte,18881,18.728363834746812
424,sample00084,100815,nk_cell,18128,17.981451172940535
425,sample00085,102542,b_cell,13770,13.428643872754579
426,sample00085,102542,cd4_t_cell,26218,25.568059916912095
427,sample00085,102542,cd8_t_cell,32384,31.58120574983909
428,sample00085,102542,monocyte,12907,12.587037506582668
429,sample00085,102542,nk_cell,17263,16.835052953911568
430,sample00086,105610,b_cell,12479,11.816115898115708
431,sample00086,105610,cd4_t_cell,31475,29.803048953697566
432,sample00086,105610,cd8_t_cell,18340,17.365779755704953
433,sample00086,105610,monocyte,16664,15.778808824921882
434,sample00086,105610,nk_cell,26652,25.236246567559892
435,sample00087,91946,b_cell,5686,6.184064559632828
436,sample00087,91946,cd4_t_cell,26848,29.199747677984906
437,sample00087,91946,cd8_t_cell,21892,23.809627389989778
438,sample00087,91946,monocyte,25096,27.29428142605442
439,sample00087,91946,nk_cell,12424,13.512278946338068
440,sample00088,101732,b_cell,6883,6.76581606574136
441,sample00088,101732,cd4_t_cell,31277,30.744505170447844
442,sample00088,101732,cd8_t_cell,23831,23.42527424999017
443,sample00088,101732,monocyte,20748,20.394762709865137
444,sample00088,101732,nk_cell,18993,18.66964180395549
445,sample00089,107271,b_cell,14432,13.453775950629714
446,sample00089,107271,cd4_t_cell,31757,29.604459732826207
447,sample00089,107271,cd8_t_cell,23729,22.120610416608404
448,sample00089,107271,monocyte,22063,20.567534561997185
449,sample00089,107271,nk_cell,15290,14.253619337938492
450,sample00090,102290,b_cell,13492,13.189950141753837
451,sample00090,102290,cd4_t_cell,26759,26.15993743278913
452,sample00090,102290,cd8_t_cell,20490,20.031283605435526
453,sample00090,102290,monocyte,23448,22.923061882882003
454,sample00090,102290,nk_cell,18101,17.695766937139506
455,sample00091,102598,b_cell,4652,4.5342014464219575
456,sample00091,102598,cd4_t_cell,33782,32.92656776935223
457,sample00091,102598,cd8_t_cell,30489,29.716953546852764
458,sample00091,102598,monocyte,15790,15.390163550946411
459,sample00091,102598,nk_cell,17885,17.432113686426636
460,sample00092,113429,b_cell,7510,6.620881785081417
461,sample00092,113429,cd4_t_cell,37137,32.74030450766559
462,sample00092,113429,cd8_t_cell,22955,20.23732907810172
463,sample00092,113429,monocyte,23268,20.51327261987675
464,sample00092,113429,nk_cell,22559,19.888212009274525
465,sample00093,109064,b_cell,8676,7.954962224015257
466,sample00093,109064,cd4_t_cell,33280,30.514193501063595
467,sample00093,109064,cd8_t_cell,22893,20.990427638817575
468,sample00093,109064,monocyte,16745,15.353370498056186
469,sample00093,109064,nk_cell,27470,25.187046138047386
470,sample00094,102270,b_cell,13462,13.163195462990124
471,sample00094,102270,cd4_t_cell,23802,23.273687298327957
472,sample00094,102270,cd8_t_cell,19888,19.446563019458296
473,sample00094,102270,monocyte,25885,25.31045272318373
474,sample00094,102270,nk_cell,19233,18.806101496039894
475,sample00095,93081,b_cell,4896,5.2599348954136715
476,sample00095,93081,cd4_t_cell,17746,19.065115329659115
477,sample00095,93081,cd8_t_cell,29022,31.179295452347954
478,sample00095,93081,monocyte,27838,29.907285052803473
479,sample00095,93081,nk_cell,13579,14.588369269775786
480,sample00096,108158,b_cell,8717,8.059505538194124
481,sample00096,108158,cd4_t_cell,31047,28.70522753749145
482,sample00096,108158,cd8_t_cell,29369,27.15379352428854
483,sample00096,108158,monocyte,25516,23.59141256310213
484,sample00096,108158,nk_cell,13509,12.49006083692376
485,sample00097,100776,b_cell,11469,11.380685877589903
486,sample00097,100776,cd4_t_cell,25644,25.446534889259347
487,sample00097,100776,cd8_t_cell,25912,25.712471223307137
488,sample00097,100776,monocyte,26747,26.541041517821704
489,sample00097,100776,nk_cell,11004,10.91926649202191
490,sample00098,105304,b_cell,10482,9.95403783332067
491,sample00098,105304,cd4_t_cell,31326,29.748157714806656
492,sample00098,105304,cd8_t_cell,25543,24.25643850186128
493,sample00098,105304,monocyte,23494,22.31064347033351
494,sample00098,105304,nk_cell,14459,13.730722479677885
495,sample00099,107859,b_cell,12589,11.67171955979566
496,sample00099,107859,cd4_t_cell,30346,28.13487979677171
497,sample00099,107859,cd8_t_cell,30282,28.075543070119323
498,sample00099,107859,monocyte,16250,15.065965751583086
499,sample00099,107859,nk_cell,18392,17.051891821730223
500,sample00100,106648,b_cell,12923,12.117433050783887
501,sample00100,106648,cd4_t_cell,32069,30.06994974120471
